No.,Code,H,K,L,Mult,Hw,2theta/TOF,L-factor,HWL,HWG,ETA
1,1,1,0,0,6,0.065,35.64,8.9783,0,0.065,0
2,2,1,0,0,6,0.065,35.732,8.9285,0,0.065,0
3,1,0,0,2,2,0.064,38.552,7.5657,0,0.064,0
4,2,0,0,2,2,0.064,38.651,7.5231,0,0.064,0
5,1,1,0,1,12,0.063,40.694,6.7184,0,0.063,0
6,2,1,0,1,12,0.063,40.8,6.6802,0,0.063,0
7,1,1,0,2,12,0.059,53.506,3.6528,0,0.059,0
8,2,1,0,2,12,0.059,53.65,3.631,0,0.059,0
9,1,1,1,0,6,0.056,64.019,2.4652,0,0.056,0
10,2,1,1,0,6,0.056,64.197,2.4507,0,0.056,0
11,1,1,0,3,12,0.054,71.198,1.9863,0,0.054,0
12,2,1,0,3,12,0.054,71.402,1.9754,0,0.054,0
13,1,2,0,0,6,0.053,75.477,1.7843,0,0.053,0
14,2,2,0,0,6,0.053,75.698,1.7753,0,0.053,0
15,1,1,1,2,12,0.053,77.284,1.7141,0,0.053,0
16,2,1,1,2,12,0.053,77.512,1.7058,0,0.053,0
17,1,2,0,1,12,0.053,78.68,1.6652,0,0.053,0
18,2,2,0,1,12,0.053,78.914,1.6574,0,0.053,0
